claim_note,controller,figure_id,n_seeds,network,route_decision,scenario_tag,series,source_artifact,source_key,x_value,y_value
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].dual_mean_oracle_regret,corridor_bottleneck_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].pressure_mean_oracle_regret,corridor_bottleneck_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].dual_vs_pressure_disagreement_rate,corridor_bottleneck_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].dual_mean_oracle_regret,demand_shift_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].pressure_mean_oracle_regret,demand_shift_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].dual_vs_pressure_disagreement_rate,demand_shift_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].dual_mean_oracle_regret,incident_capacity_drop,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].pressure_mean_oracle_regret,incident_capacity_drop,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].dual_vs_pressure_disagreement_rate,incident_capacity_drop,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].dual_mean_oracle_regret,slack,7.105427358e-13
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].pressure_mean_oracle_regret,slack,7.105427358e-13
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].dual_vs_pressure_disagreement_rate,slack,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].dual_mean_oracle_regret,storage_binding,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].pressure_mean_oracle_regret,storage_binding,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].dual_vs_pressure_disagreement_rate,storage_binding,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].dual_mean_oracle_regret,supply_binding_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].pressure_mean_oracle_regret,supply_binding_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].dual_vs_pressure_disagreement_rate,supply_binding_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_bottleneck_failure_mode,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].avg_travel_time,arterial_bottleneck_failure_mode/capacity_aware_pressure,67.08571429
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_bottleneck_failure_mode,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].completion_rate,arterial_bottleneck_failure_mode/capacity_aware_pressure,0.7989130435
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_bottleneck_failure_mode,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].mean_queue,arterial_bottleneck_failure_mode/capacity_aware_pressure,34.2
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_bottleneck_failure_mode,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].switching_count,arterial_bottleneck_failure_mode/capacity_aware_pressure,56
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_bottleneck_failure_mode,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].avg_travel_time,arterial_bottleneck_failure_mode/max_pressure,67.08571429
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_bottleneck_failure_mode,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].completion_rate,arterial_bottleneck_failure_mode/max_pressure,0.7989130435
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_bottleneck_failure_mode,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].mean_queue,arterial_bottleneck_failure_mode/max_pressure,34.2
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_bottleneck_failure_mode,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].switching_count,arterial_bottleneck_failure_mode/max_pressure,56
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[2].avg_travel_time,arterial_demand_shift/capacity_aware_pressure,63.3847185
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[2].completion_rate,arterial_demand_shift/capacity_aware_pressure,0.8038793103
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[2].mean_queue,arterial_demand_shift/capacity_aware_pressure,31.2125
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[2].switching_count,arterial_demand_shift/capacity_aware_pressure,55
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,fixed_time,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[3].avg_travel_time,arterial_demand_shift/fixed_time,64.09418283
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,fixed_time,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[3].completion_rate,arterial_demand_shift/fixed_time,0.7780172414
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,fixed_time,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[3].mean_queue,arterial_demand_shift/fixed_time,41.51666667
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,fixed_time,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[3].switching_count,arterial_demand_shift/fixed_time,40
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[4].avg_travel_time,arterial_demand_shift/max_pressure,63.3847185
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[4].completion_rate,arterial_demand_shift/max_pressure,0.8038793103
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[4].mean_queue,arterial_demand_shift/max_pressure,31.2125
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,1,arterial,pressure-equivalent,arterial_demand_shift,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[4].switching_count,arterial_demand_shift/max_pressure,55
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,actuated_local_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[5].avg_travel_time,arterial_main/actuated_local_pressure,62.74009079
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,actuated_local_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[5].completion_rate,arterial_main/actuated_local_pressure,0.8073913043
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,actuated_local_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[5].mean_queue,arterial_main/actuated_local_pressure,30.19416667
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,actuated_local_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[5].switching_count,arterial_main/actuated_local_pressure,55.6
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,all_neighbor_symbolic,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[6].avg_travel_time,arterial_main/all_neighbor_symbolic,62.88257532
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,all_neighbor_symbolic,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[6].completion_rate,arterial_main/all_neighbor_symbolic,0.802826087
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,all_neighbor_symbolic,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[6].mean_queue,arterial_main/all_neighbor_symbolic,30.7425
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,all_neighbor_symbolic,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[6].switching_count,arterial_main/all_neighbor_symbolic,55.4
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[7].avg_travel_time,arterial_main/capacity_aware_pressure,62.88257532
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[7].completion_rate,arterial_main/capacity_aware_pressure,0.802826087
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[7].mean_queue,arterial_main/capacity_aware_pressure,30.7425
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[7].switching_count,arterial_main/capacity_aware_pressure,55.4
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,fixed_time,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[8].avg_travel_time,arterial_main/fixed_time,64.74578613
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,fixed_time,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[8].completion_rate,arterial_main/fixed_time,0.7841304348
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,fixed_time,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[8].mean_queue,arterial_main/fixed_time,40.88083333
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,fixed_time,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[8].switching_count,arterial_main/fixed_time,40
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[9].avg_travel_time,arterial_main/max_pressure,62.88257532
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[9].completion_rate,arterial_main/max_pressure,0.802826087
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[9].mean_queue,arterial_main/max_pressure,30.7425
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,switching_count,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[9].switching_count,arterial_main/max_pressure,55.4
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,random_permuted_dual,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,avg_travel_time,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[10].avg_travel_time,arterial_main/random_permuted_dual,65.46395908
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,random_permuted_dual,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,completion_rate,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[10].completion_rate,arterial_main/random_permuted_dual,0.6945652174
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,random_permuted_dual,F3_closed_loop_aggregates,5,arterial,pressure-equivalent,arterial_main,mean_queue,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[10].mean_queue,arterial_main/random_permuted_dual,77.74583333
